timestamp,edge,lat,long,head,time,bitrate,jitter,lost
1663855132.6,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,5.21,1.096,2
1663855132.7,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,8.11,0.395,1
1663855132.8,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,7.41,0.579,0
1663855132.9,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,7.88,0.557,0
1663855133.0,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,5.79,1.873,1
1663855133.1,"(1487207562, 3596765030, 0)",40.64353981498397,-8.659371481983962,139.08,13:58,4.52,2.665,0
1663855133.2,"(3596765030, 1487207562, 0)",40.64353962996793,-8.659371296967924,139.08,13:58,0.927,6.264,0
1663855133.3,"(1487207562, 3596765030, 0)",40.64353944495189,-8.659371111951886,139.08,13:58,4.29,3.333,5
1663855133.4,"(1487207562, 3596765030, 0)",40.64353925993586,-8.65937092693585,139.08,13:58,3.24,3.884,0
1663855133.5,"(1487207562, 3596765030, 0)",40.64353907491983,-8.659370741919815,139.08,13:58,1.62,4.213,6
1663855133.6,"(1487207562, 3596765030, 0)",40.64353888990378,-8.65937055690378,139.08,13:58,1.16,5.592,9
1663855133.7,"(3596765030, 1487207562, 0)",40.64353870488774,-8.659370371887748,139.08,13:58,1.74,4.955,11
1663855133.8,"(1487207562, 3596765030, 0)",40.64353851987171,-8.659370186871717,139.08,13:58,1.97,6.236,19
1663855133.9,"(1487207562, 3596765030, 0)",40.64353833485567,-8.659370001855686,139.08,13:58,1.27,7.691,15
1663855134.0,"(1487207562, 3596765030, 0)",40.643538333,-8.65937,142.7027215938433,13:58,1.39,5.83,14
1663855134.1,"(3596765030, 1487207562, 0)",40.6435370382207,-8.65936833518853,142.7027215938433,13:58,1.39,5.807,14
1663855134.2,"(3596765030, 1487207562, 0)",40.643535743441376,-8.659366670377123,142.7027215938433,13:58,0.348,8.985,0
1663855134.3,"(1487207562, 3596765030, 0)",40.64353444866204,-8.659365005565782,142.7027215938433,13:58,0.463,10.182,20
1663855134.4,"(1487207562, 3596765030, 0)",40.64353315388265,-8.659363340754506,142.7027215938433,13:58,0.348,14.655,40
1663855134.5,"(1487207562, 3596765030, 0)",40.64353185910326,-8.659361675943293,142.7027215938433,13:58,1.27,14.674,52
1663855134.6,"(3596765030, 1487207562, 0)",40.643530564323825,-8.659360011132145,142.7027215938433,13:58,0.347,15.816,40
1663855134.7,"(3596765030, 1487207562, 0)",40.643529269544395,-8.659358346321062,142.7027215938433,13:58,0.348,23.817,57
1663855134.8,"(3596765030, 1487207562, 0)",40.64352797476492,-8.659356681510044,142.7027215938433,13:58,1.51,20.563,58
1663855134.9,"(1487207562, 3596765030, 0)",40.64352667998543,-8.65935501669909,142.7027215938433,13:58,1.27,23.562,42
1663855135.0,"(3596765030, 1487207562, 0)",40.643526667,-8.659355,135.59592999979907,13:58,0.695,19.611,33
1663855135.1,"(1487207562, 3596765030, 0)",40.643524817172576,-8.659352225314128,135.59592999979907,13:58,0.695,16.953,25
1663855135.2,"(1487207562, 3596765030, 0)",40.643522967345085,-8.659349450628412,135.59592999979907,13:58,0.463,21.021,71
1663855135.3,"(3596765030, 1487207562, 0)",40.64352111751752,-8.65934667594285,135.59592999979907,13:58,0.232,24.787,60
1663855135.4,"(1487207562, 3596765030, 0)",40.643519267689896,-8.659343901257442,135.59592999979907,13:58,0.232,23.424,75
1663855135.5,"(3596765030, 1487207562, 0)",40.6435174178622,-8.659341126572185,135.59592999979907,13:58,0.116,26.503,0
1663855135.6,"(1487207562, 3596765030, 0)",40.64351556803444,-8.659338351887085,135.59592999979907,13:58,0.232,31.558,66
1663855135.7,"(3596765030, 1487207562, 0)",40.64351371820661,-8.659335577202137,135.59592999979907,13:58,0.232,28.5,60
1663855135.8,"(1487207562, 3596765030, 0)",40.643511868378724,-8.659332802517342,135.59592999979907,13:58,0.116,28.136,92
1663855135.9,"(3596765030, 1487207562, 0)",40.64351001855076,-8.659330027832702,135.59592999979907,13:58,0.116,34.07,0
