timestamp,edge,lat,long,head,time,bitrate_cell,jitter_cell,lost_cell
1663855134.2,"(3596765030, 1487207562, 0)",40.643535743441376,-8.659366670377123,142.7027215938433,13:58,20.6,0.731,0
1663855134.3,"(1487207562, 3596765030, 0)",40.64353444866204,-8.659365005565782,142.7027215938433,13:58,18.6,0.711,0
1663855134.4,"(1487207562, 3596765030, 0)",40.64353315388265,-8.659363340754506,142.7027215938433,13:58,20.1,0.507,0
1663855134.5,"(1487207562, 3596765030, 0)",40.64353185910326,-8.659361675943293,142.7027215938433,13:58,20.9,0.636,0
1663855134.6,"(3596765030, 1487207562, 0)",40.643530564323825,-8.659360011132145,142.7027215938433,13:58,18.8,0.413,0
1663855134.7,"(3596765030, 1487207562, 0)",40.643529269544395,-8.659358346321062,142.7027215938433,13:58,21.5,0.726,0
1663855134.8,"(3596765030, 1487207562, 0)",40.64352797476492,-8.659356681510044,142.7027215938433,13:58,17.3,0.496,0
1663855134.9,"(1487207562, 3596765030, 0)",40.64352667998543,-8.65935501669909,142.7027215938433,13:58,16.9,0.825,0
1663855135.0,"(3596765030, 1487207562, 0)",40.643526667,-8.659355,135.59592999979907,13:58,13.9,0.775,0
1663855135.1,"(1487207562, 3596765030, 0)",40.643524817172576,-8.659352225314128,135.59592999979907,13:58,17.9,0.727,0
1663855135.2,"(1487207562, 3596765030, 0)",40.643522967345085,-8.659349450628412,135.59592999979907,13:58,15.5,0.964,0
1663855135.3,"(3596765030, 1487207562, 0)",40.64352111751752,-8.65934667594285,135.59592999979907,13:58,17.1,0.633,0
1663855135.4,"(1487207562, 3596765030, 0)",40.643519267689896,-8.659343901257442,135.59592999979907,13:58,20.3,0.827,0
1663855135.5,"(3596765030, 1487207562, 0)",40.6435174178622,-8.659341126572185,135.59592999979907,13:58,20.3,0.789,0
1663855135.6,"(1487207562, 3596765030, 0)",40.64351556803444,-8.659338351887085,135.59592999979907,13:58,20.4,0.559,0
1663855135.7,"(3596765030, 1487207562, 0)",40.64351371820661,-8.659335577202137,135.59592999979907,13:58,19.6,0.736,0
1663855135.8,"(1487207562, 3596765030, 0)",40.643511868378724,-8.659332802517342,135.59592999979907,13:58,19.8,0.941,0
1663855135.9,"(3596765030, 1487207562, 0)",40.64351001855076,-8.659330027832702,135.59592999979907,13:58,18.4,0.92,0
1663855136.0,"(3596765030, 1487207562, 0)",40.64351,-8.65933,131.19333361881058,13:58,19.3,0.752,0
1663855136.0,"(3596765030, 1487207562, 0)",40.64351,-8.65933,131.19333361881058,13:58,19.3,0.752,0
1663855136.0,"(3596765030, 1487207562, 0)",40.64351,-8.65933,131.19333361881058,13:58,19.3,0.752,0
1663855136.0,"(3596765030, 1487207562, 0)",40.64351,-8.65933,131.19333361881058,13:58,19.3,0.752,0
1663855136.1,"(3596765030, 1487207562, 0)",40.643507595235434,-8.659326485360802,131.19333361881058,13:58,19.0,0.739,0
1663855136.1,"(3596765030, 1487207562, 0)",40.643507595235434,-8.659326485360802,131.19333361881058,13:58,19.0,0.739,0
1663855136.2,"(3596765030, 1487207562, 0)",40.64350519047076,-8.659322970721858,131.19333361881058,13:58,20.8,0.733,0
1663855136.2,"(3596765030, 1487207562, 0)",40.64350519047076,-8.659322970721858,131.19333361881058,13:58,20.8,0.733,0
1663855136.3,"(1487207562, 3596765030, 0)",40.64350278570598,-8.659319456083164,131.19333361881058,13:58,21.0,0.877,0
1663855136.3,"(1487207562, 3596765030, 0)",40.64350278570598,-8.659319456083164,131.19333361881058,13:58,21.0,0.877,0
1663855136.4,"(1487207562, 3596765030, 0)",40.6435003809411,-8.659315941444724,131.19333361881058,13:58,20.3,0.766,0
1663855136.4,"(1487207562, 3596765030, 0)",40.6435003809411,-8.659315941444724,131.19333361881058,13:58,20.3,0.766,0
1663855136.5,"(3596765030, 1487207562, 0)",40.6434979761761,-8.65931242680654,131.19333361881058,13:58,19.5,0.659,0
1663855136.5,"(3596765030, 1487207562, 0)",40.6434979761761,-8.65931242680654,131.19333361881058,13:58,19.5,0.659,0
1663855136.6,"(1487207562, 3596765030, 0)",40.643495571410995,-8.659308912168607,131.19333361881058,13:58,19.9,0.826,0
1663855136.6,"(1487207562, 3596765030, 0)",40.643495571410995,-8.659308912168607,131.19333361881058,13:58,19.9,0.826,0
1663855136.7,"(1487207562, 3596765030, 0)",40.64349316664578,-8.659305397530929,131.19333361881058,13:58,17.2,0.675,0
1663855136.7,"(1487207562, 3596765030, 0)",40.64349316664578,-8.659305397530929,131.19333361881058,13:58,17.2,0.675,0
1663855136.8,"(1487207562, 3596765030, 0)",40.64349076188047,-8.659301882893503,131.19333361881058,13:58,20.6,0.726,0
1663855136.8,"(1487207562, 3596765030, 0)",40.64349076188047,-8.659301882893503,131.19333361881058,13:58,20.6,0.726,0
1663855136.9,"(1487207562, 3596765030, 0)",40.643488357115054,-8.65929836825633,131.19333361881058,13:58,22.7,0.758,0
1663855136.9,"(1487207562, 3596765030, 0)",40.643488357115054,-8.65929836825633,131.19333361881058,13:58,22.7,0.758,0
1663855137.0,"(1487207562, 3596765030, 0)",40.643488333,-8.659298333,131.9316638071739,13:58,21.4,0.674,0
1663855137.1,"(3596765030, 1487207562, 0)",40.64348574333037,-8.659294448439633,131.9316638071739,13:58,23.2,0.683,0
1663855137.2,"(1487207562, 3596765030, 0)",40.64348315366062,-8.659290563879566,131.9316638071739,13:58,25.1,0.544,0
1663855137.3,"(1487207562, 3596765030, 0)",40.64348056399073,-8.6592866793198,131.9316638071739,13:58,22.9,0.541,0
1663855137.4,"(1487207562, 3596765030, 0)",40.64347797432071,-8.659282794760337,131.9316638071739,13:58,23.0,0.895,0
1663855137.5,"(1487207562, 3596765030, 0)",40.64347538465056,-8.659278910201174,131.9316638071739,13:58,24.8,0.669,0
1663855137.6,"(1487207562, 3596765030, 0)",40.643472794980276,-8.659275025642314,131.9316638071739,13:58,22.3,0.638,0
1663855137.7,"(3596765030, 1487207562, 0)",40.64347020530987,-8.659271141083753,131.9316638071739,13:58,18.8,0.6,0
1663855137.8,"(1487207562, 3596765030, 0)",40.64346761563932,-8.659267256525496,131.9316638071739,13:58,18.2,0.606,0
1663855137.9,"(3596765030, 1487207562, 0)",40.64346502596866,-8.659263371967539,131.9316638071739,13:58,21.2,0.939,0
1663855138.0,"(1487207562, 3596765030, 0)",40.643465,-8.659263333,131.19233895645135,13:58,21.4,0.755,0
1663855138.0,"(1487207562, 3596765030, 0)",40.643465,-8.659263333,131.19233895645135,13:58,21.4,0.755,0
1663855138.0,"(1487207562, 3596765030, 0)",40.643465,-8.659263333,131.19233895645135,13:58,21.4,0.755,0
1663855138.0,"(1487207562, 3596765030, 0)",40.643465,-8.659263333,131.19233895645135,13:58,21.4,0.755,0
1663855138.1,"(1487207562, 3596765030, 0)",40.643462040298296,-8.659259078518415,131.19233895645135,13:58,18.6,0.51,0
1663855138.1,"(1487207562, 3596765030, 0)",40.643462040298296,-8.659259078518415,131.19233895645135,13:58,18.6,0.51,0
1663855138.2,"(1487207562, 3596765030, 0)",40.64345908059643,-8.659254824037209,131.19233895645135,13:58,19.4,0.562,0
1663855138.2,"(1487207562, 3596765030, 0)",40.64345908059643,-8.659254824037209,131.19233895645135,13:58,19.4,0.562,0
1663855138.3,"(3596765030, 1487207562, 0)",40.643456120894406,-8.659250569556379,131.19233895645135,13:58,15.6,0.897,0
1663855138.3,"(3596765030, 1487207562, 0)",40.643456120894406,-8.659250569556379,131.19233895645135,13:58,15.6,0.897,0
1663855138.4,"(3596765030, 1487207562, 0)",40.64345316119221,-8.659246315075926,131.19233895645135,13:58,22.1,0.681,0
1663855138.4,"(3596765030, 1487207562, 0)",40.64345316119221,-8.659246315075926,131.19233895645135,13:58,22.1,0.681,0
1663855138.5,"(1487207562, 3596765030, 0)",40.64345020148988,-8.659242060595849,131.19233895645135,13:58,18.5,0.719,0
1663855138.5,"(1487207562, 3596765030, 0)",40.64345020148988,-8.659242060595849,131.19233895645135,13:58,18.5,0.719,0
1663855138.6,"(1487207562, 3596765030, 0)",40.643447241787385,-8.65923780611615,131.19233895645135,13:58,19.1,0.676,0
1663855138.6,"(1487207562, 3596765030, 0)",40.643447241787385,-8.65923780611615,131.19233895645135,13:58,19.1,0.676,0
1663855138.7,"(3596765030, 1487207562, 0)",40.64344428208473,-8.65923355163683,131.19233895645135,13:58,17.3,0.78,0
1663855138.7,"(3596765030, 1487207562, 0)",40.64344428208473,-8.65923355163683,131.19233895645135,13:58,17.3,0.78,0
1663855138.8,"(1487207562, 3596765030, 0)",40.64344132238193,-8.659229297157887,131.19233895645135,13:58,14.2,0.704,0
1663855138.8,"(1487207562, 3596765030, 0)",40.64344132238193,-8.659229297157887,131.19233895645135,13:58,14.2,0.704,0
